"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","LABCOMP","TOT","AGRWTH","A","2008",4.300984,
"BEL","LABCOMP","TOT","AGRWTH","A","2009",2.989028,
"BEL","LABCOMP","TOT","AGRWTH","A","2010",1.303233,
"BEL","LABCOMP","TOT","AGRWTH","A","2011",2.34751,
"BEL","LABCOMP","TOT","AGRWTH","A","2012",3.337143,
"BEL","LABCOMP","TOT","AGRWTH","A","2013",2.693429,
"BEL","LABCOMP","TOT","AGRWTH","A","2014",1.131727,
"BEL","LABCOMP","TOT","AGRWTH","A","2015",0.348831,
"BEL","LABCOMP","TOT","AGRWTH","A","2016",0.2963,
"BEL","LABCOMP","TOT","AGRWTH","A","2017",1.515191,
"BEL","LABCOMP","TOT","AGRWTH","A","2018",1.559112,
"BEL","LABCOMP","TOT","AGRWTH","A","2019",2.133649,
"BEL","LABCOMP","TOT","AGRWTH","A","2020",4.994343,
"BEL","LABCOMP","TOT","AGRWTH","A","2021",0.388843,
"BEL","LABCOMP","TOT","AGRWTH","A","2022",5.393758,
"CAN","LABCOMP","TOT","AGRWTH","A","1971",7.897271,
"CAN","LABCOMP","TOT","AGRWTH","A","1972",9.042638,
"CAN","LABCOMP","TOT","AGRWTH","A","1973",9.265051,
"CAN","LABCOMP","TOT","AGRWTH","A","1974",15.520284,
"CAN","LABCOMP","TOT","AGRWTH","A","1975",16.115578,
"CAN","LABCOMP","TOT","AGRWTH","A","1976",15.280747,
"CAN","LABCOMP","TOT","AGRWTH","A","1977",9.525712,
"CAN","LABCOMP","TOT","AGRWTH","A","1978",5.693382,
"CAN","LABCOMP","TOT","AGRWTH","A","1979",7.201798,
"CAN","LABCOMP","TOT","AGRWTH","A","1980",9.482326,
"CAN","LABCOMP","TOT","AGRWTH","A","1981",12.892864,
"CAN","LABCOMP","TOT","AGRWTH","A","1982",12.460255,
"CAN","LABCOMP","TOT","AGRWTH","A","1983",4.798444,
"CAN","LABCOMP","TOT","AGRWTH","A","1984",4.499311,
"CAN","LABCOMP","TOT","AGRWTH","A","1985",4.13033,
"CAN","LABCOMP","TOT","AGRWTH","A","1986",2.967204,
"CAN","LABCOMP","TOT","AGRWTH","A","1987",4.710037,
"CAN","LABCOMP","TOT","AGRWTH","A","1988",6.030677,
"CAN","LABCOMP","TOT","AGRWTH","A","1989",5.638295,
"CAN","LABCOMP","TOT","AGRWTH","A","1990",5.294696,
"CAN","LABCOMP","TOT","AGRWTH","A","1991",6.381191,
"CAN","LABCOMP","TOT","AGRWTH","A","1992",3.780248,
"CAN","LABCOMP","TOT","AGRWTH","A","1993",1.617504,
"CAN","LABCOMP","TOT","AGRWTH","A","1994",0.402617,
"CAN","LABCOMP","TOT","AGRWTH","A","1995",1.436471,
"CAN","LABCOMP","TOT","AGRWTH","A","1996",1.298426,
"CAN","LABCOMP","TOT","AGRWTH","A","1997",3.22936,
"CAN","LABCOMP","TOT","AGRWTH","A","1998",3.72985,
"CAN","LABCOMP","TOT","AGRWTH","A","1999",2.307711,
"CAN","LABCOMP","TOT","AGRWTH","A","2000",5.909557,
"CAN","LABCOMP","TOT","AGRWTH","A","2001",3.196168,
"CAN","LABCOMP","TOT","AGRWTH","A","2002",2.122054,
"CAN","LABCOMP","TOT","AGRWTH","A","2003",2.398096,
"CAN","LABCOMP","TOT","AGRWTH","A","2004",3.150882,
"CAN","LABCOMP","TOT","AGRWTH","A","2005",4.377378,
"CAN","LABCOMP","TOT","AGRWTH","A","2006",4.710148,
"CAN","LABCOMP","TOT","AGRWTH","A","2007",4.11036,
"CAN","LABCOMP","TOT","AGRWTH","A","2008",3.010709,
"CAN","LABCOMP","TOT","AGRWTH","A","2009",2.548657,
"CAN","LABCOMP","TOT","AGRWTH","A","2010",0.805325,
"CAN","LABCOMP","TOT","AGRWTH","A","2011",3.626854,
"CAN","LABCOMP","TOT","AGRWTH","A","2012",2.519715,
"CAN","LABCOMP","TOT","AGRWTH","A","2013",3.181343,
"CAN","LABCOMP","TOT","AGRWTH","A","2014",3.470706,
"CAN","LABCOMP","TOT","AGRWTH","A","2015",1.954746,
"CAN","LABCOMP","TOT","AGRWTH","A","2016",-0.534989,
"CAN","LABCOMP","TOT","AGRWTH","A","2017",2.46289,
"CAN","LABCOMP","TOT","AGRWTH","A","2018",2.491694,
"CAN","LABCOMP","TOT","AGRWTH","A","2019",2.659228,
"CAN","LABCOMP","TOT","AGRWTH","A","2020",10.841919,
"CAN","LABCOMP","TOT","AGRWTH","A","2021",-0.978464,
"CAN","LABCOMP","TOT","AGRWTH","A","2022",4.47835,
"CZE","LABCOMP","TOT","AGRWTH","A","1996",17.613248,
"CZE","LABCOMP","TOT","AGRWTH","A","1997",10.036688,
"CZE","LABCOMP","TOT","AGRWTH","A","1998",7.777189,
"CZE","LABCOMP","TOT","AGRWTH","A","1999",4.819705,
"CZE","LABCOMP","TOT","AGRWTH","A","2000",7.616717,
"CZE","LABCOMP","TOT","AGRWTH","A","2001",13.605972,
"CZE","LABCOMP","TOT","AGRWTH","A","2002",8.393537,
"CZE","LABCOMP","TOT","AGRWTH","A","2003",9.084076,
"CZE","LABCOMP","TOT","AGRWTH","A","2004",6.467072,
"CZE","LABCOMP","TOT","AGRWTH","A","2005",3.460333,
"CZE","LABCOMP","TOT","AGRWTH","A","2006",6.727779,
"CZE","LABCOMP","TOT","AGRWTH","A","2007",6.689766,
"CZE","LABCOMP","TOT","AGRWTH","A","2008",3.223054,
"CZE","LABCOMP","TOT","AGRWTH","A","2009",-0.503854,
"CZE","LABCOMP","TOT","AGRWTH","A","2010",2.465206,
"CZE","LABCOMP","TOT","AGRWTH","A","2011",2.300515,
"CZE","LABCOMP","TOT","AGRWTH","A","2012",2.600969,
"CZE","LABCOMP","TOT","AGRWTH","A","2013",0.132803,
"CZE","LABCOMP","TOT","AGRWTH","A","2014",2.348947,
"CZE","LABCOMP","TOT","AGRWTH","A","2015",4.517817,
"CZE","LABCOMP","TOT","AGRWTH","A","2016",2.51093,
"CZE","LABCOMP","TOT","AGRWTH","A","2017",7.32301,
"CZE","LABCOMP","TOT","AGRWTH","A","2018",7.639865,
"CZE","LABCOMP","TOT","AGRWTH","A","2019",6.65682,
"CZE","LABCOMP","TOT","AGRWTH","A","2020",9.620624,
"CZE","LABCOMP","TOT","AGRWTH","A","2021",2.268638,
"CZE","LABCOMP","TOT","AGRWTH","A","2022",3.339698,
"DNK","LABCOMP","TOT","AGRWTH","A","1971",15.003828,
"DNK","LABCOMP","TOT","AGRWTH","A","1972",12.073626,
"DNK","LABCOMP","TOT","AGRWTH","A","1973",15.915042,
"DNK","LABCOMP","TOT","AGRWTH","A","1974",19.412894,
"DNK","LABCOMP","TOT","AGRWTH","A","1975",19.360833,
"DNK","LABCOMP","TOT","AGRWTH","A","1976",11.135417,
"DNK","LABCOMP","TOT","AGRWTH","A","1977",12.627542,
"DNK","LABCOMP","TOT","AGRWTH","A","1978",11.055572,
"DNK","LABCOMP","TOT","AGRWTH","A","1979",10.056883,
"DNK","LABCOMP","TOT","AGRWTH","A","1980",8.782662,
"DNK","LABCOMP","TOT","AGRWTH","A","1981",12.297658,
"DNK","LABCOMP","TOT","AGRWTH","A","1982",11.718557,
"DNK","LABCOMP","TOT","AGRWTH","A","1983",9.081112,
"DNK","LABCOMP","TOT","AGRWTH","A","1984",6.065423,
"DNK","LABCOMP","TOT","AGRWTH","A","1985",5.894402,
"DNK","LABCOMP","TOT","AGRWTH","A","1986",4.424895,
"DNK","LABCOMP","TOT","AGRWTH","A","1987",10.132068,
"DNK","LABCOMP","TOT","AGRWTH","A","1988",7.213214,
"DNK","LABCOMP","TOT","AGRWTH","A","1989",5.372589,
"DNK","LABCOMP","TOT","AGRWTH","A","1990",5.000752,
"DNK","LABCOMP","TOT","AGRWTH","A","1991",4.497507,
"DNK","LABCOMP","TOT","AGRWTH","A","1992",2.875838,
"DNK","LABCOMP","TOT","AGRWTH","A","1993",2.47547,
"DNK","LABCOMP","TOT","AGRWTH","A","1994",3.666019,
"DNK","LABCOMP","TOT","AGRWTH","A","1995",2.592553,
"DNK","LABCOMP","TOT","AGRWTH","A","1996",4.800741,
"DNK","LABCOMP","TOT","AGRWTH","A","1997",1.533116,
"DNK","LABCOMP","TOT","AGRWTH","A","1998",3.233329,
"DNK","LABCOMP","TOT","AGRWTH","A","1999",2.661271,
"DNK","LABCOMP","TOT","AGRWTH","A","2000",2.998343,
"DNK","LABCOMP","TOT","AGRWTH","A","2001",3.58403,
"DNK","LABCOMP","TOT","AGRWTH","A","2002",4.508693,
"DNK","LABCOMP","TOT","AGRWTH","A","2003",3.815326,
"DNK","LABCOMP","TOT","AGRWTH","A","2004",3.082753,
"DNK","LABCOMP","TOT","AGRWTH","A","2005",3.448181,
"DNK","LABCOMP","TOT","AGRWTH","A","2006",3.085986,
"DNK","LABCOMP","TOT","AGRWTH","A","2007",5.050748,
"DNK","LABCOMP","TOT","AGRWTH","A","2008",3.639002,
"DNK","LABCOMP","TOT","AGRWTH","A","2009",3.615084,
"DNK","LABCOMP","TOT","AGRWTH","A","2010",2.784789,
"DNK","LABCOMP","TOT","AGRWTH","A","2011",0.380097,
"DNK","LABCOMP","TOT","AGRWTH","A","2012",2.692043,
"DNK","LABCOMP","TOT","AGRWTH","A","2013",1.490349,
"DNK","LABCOMP","TOT","AGRWTH","A","2014",2.313366,
"DNK","LABCOMP","TOT","AGRWTH","A","2015",2.549173,
"DNK","LABCOMP","TOT","AGRWTH","A","2016",0.590233,
"DNK","LABCOMP","TOT","AGRWTH","A","2017",2.094663,
"DNK","LABCOMP","TOT","AGRWTH","A","2018",3.202591,
"DNK","LABCOMP","TOT","AGRWTH","A","2019",2.158692,
"DNK","LABCOMP","TOT","AGRWTH","A","2020",4.711437,
"DNK","LABCOMP","TOT","AGRWTH","A","2021",0.05464,
"DNK","LABCOMP","TOT","AGRWTH","A","2022",2.806787,
"FIN","LABCOMP","TOT","AGRWTH","A","1976",17.057988,
"FIN","LABCOMP","TOT","AGRWTH","A","1977",10.106378,
"FIN","LABCOMP","TOT","AGRWTH","A","1978",5.820839,
"FIN","LABCOMP","TOT","AGRWTH","A","1979",11.931703,
"FIN","LABCOMP","TOT","AGRWTH","A","1980",13.388342,
"FIN","LABCOMP","TOT","AGRWTH","A","1981",14.344186,
"FIN","LABCOMP","TOT","AGRWTH","A","1982",10.312444,
"FIN","LABCOMP","TOT","AGRWTH","A","1983",10.769801,
"FIN","LABCOMP","TOT","AGRWTH","A","1984",10.600213,
"FIN","LABCOMP","TOT","AGRWTH","A","1985",10.681514,
"FIN","LABCOMP","TOT","AGRWTH","A","1986",8.373714,
"FIN","LABCOMP","TOT","AGRWTH","A","1987",7.263002,
"FIN","LABCOMP","TOT","AGRWTH","A","1988",8.996441,
"FIN","LABCOMP","TOT","AGRWTH","A","1989",10.383821,
"FIN","LABCOMP","TOT","AGRWTH","A","1990",11.077537,
"FIN","LABCOMP","TOT","AGRWTH","A","1991",7.631908,
"FIN","LABCOMP","TOT","AGRWTH","A","1992",2.233176,
"FIN","LABCOMP","TOT","AGRWTH","A","1993",0.77519,
"FIN","LABCOMP","TOT","AGRWTH","A","1994",2.109111,
"FIN","LABCOMP","TOT","AGRWTH","A","1995",3.290538,
"FIN","LABCOMP","TOT","AGRWTH","A","1996",2.838808,
"FIN","LABCOMP","TOT","AGRWTH","A","1997",1.618411,
"FIN","LABCOMP","TOT","AGRWTH","A","1998",4.972391,
"FIN","LABCOMP","TOT","AGRWTH","A","1999",3.651956,
"FIN","LABCOMP","TOT","AGRWTH","A","2000",4.361975,
"FIN","LABCOMP","TOT","AGRWTH","A","2001",4.303674,
"FIN","LABCOMP","TOT","AGRWTH","A","2002",2.001799,
"FIN","LABCOMP","TOT","AGRWTH","A","2003",2.325191,
"FIN","LABCOMP","TOT","AGRWTH","A","2004",3.414595,
"FIN","LABCOMP","TOT","AGRWTH","A","2005",4.097053,
"FIN","LABCOMP","TOT","AGRWTH","A","2006",3.463032,
"FIN","LABCOMP","TOT","AGRWTH","A","2007",3.285353,
"FIN","LABCOMP","TOT","AGRWTH","A","2008",4.404562,
"FIN","LABCOMP","TOT","AGRWTH","A","2009",3.623842,
"FIN","LABCOMP","TOT","AGRWTH","A","2010",1.557834,
"FIN","LABCOMP","TOT","AGRWTH","A","2011",3.421563,
"FIN","LABCOMP","TOT","AGRWTH","A","2012",3.32384,
"FIN","LABCOMP","TOT","AGRWTH","A","2013",1.657332,
"FIN","LABCOMP","TOT","AGRWTH","A","2014",1.12718,
"FIN","LABCOMP","TOT","AGRWTH","A","2015",1.524571,
"FIN","LABCOMP","TOT","AGRWTH","A","2016",0.891697,
"FIN","LABCOMP","TOT","AGRWTH","A","2017",-0.902901,
"FIN","LABCOMP","TOT","AGRWTH","A","2018",1.465896,
"FIN","LABCOMP","TOT","AGRWTH","A","2019",2.166117,
"FIN","LABCOMP","TOT","AGRWTH","A","2020",0.782417,
"FIN","LABCOMP","TOT","AGRWTH","A","2021",4.538941,
"FIN","LABCOMP","TOT","AGRWTH","A","2022",3.45377,
"FRA","LABCOMP","TOT","AGRWTH","A","1971",11.077833,
"FRA","LABCOMP","TOT","AGRWTH","A","1972",12.643722,
"FRA","LABCOMP","TOT","AGRWTH","A","1973",13.011523,
"FRA","LABCOMP","TOT","AGRWTH","A","1974",19.276823,
"FRA","LABCOMP","TOT","AGRWTH","A","1975",19.97254,
"FRA","LABCOMP","TOT","AGRWTH","A","1976",12.759936,
"FRA","LABCOMP","TOT","AGRWTH","A","1977",14.266359,
"FRA","LABCOMP","TOT","AGRWTH","A","1978",14.000162,
"FRA","LABCOMP","TOT","AGRWTH","A","1979",12.509638,
"FRA","LABCOMP","TOT","AGRWTH","A","1980",14.449393,
"FRA","LABCOMP","TOT","AGRWTH","A","1981",14.579028,
"FRA","LABCOMP","TOT","AGRWTH","A","1982",19.279922,
"FRA","LABCOMP","TOT","AGRWTH","A","1983",10.936771,
"FRA","LABCOMP","TOT","AGRWTH","A","1984",8.06651,
"FRA","LABCOMP","TOT","AGRWTH","A","1985",7.561657,
"FRA","LABCOMP","TOT","AGRWTH","A","1986",4.271408,
"FRA","LABCOMP","TOT","AGRWTH","A","1987",2.105016,
"FRA","LABCOMP","TOT","AGRWTH","A","1988",3.502119,
"FRA","LABCOMP","TOT","AGRWTH","A","1989",4.848057,
"FRA","LABCOMP","TOT","AGRWTH","A","1990",5.188373,
"FRA","LABCOMP","TOT","AGRWTH","A","1991",4.301609,
"FRA","LABCOMP","TOT","AGRWTH","A","1992",3.73979,
"FRA","LABCOMP","TOT","AGRWTH","A","1993",2.547113,
"FRA","LABCOMP","TOT","AGRWTH","A","1994",1.032742,
"FRA","LABCOMP","TOT","AGRWTH","A","1995",3.254662,
"FRA","LABCOMP","TOT","AGRWTH","A","1996",2.027365,
"FRA","LABCOMP","TOT","AGRWTH","A","1997",1.684985,
"FRA","LABCOMP","TOT","AGRWTH","A","1998",2.107861,
"FRA","LABCOMP","TOT","AGRWTH","A","1999",1.903937,
"FRA","LABCOMP","TOT","AGRWTH","A","2000",4.019442,
"FRA","LABCOMP","TOT","AGRWTH","A","2001",3.908356,
"FRA","LABCOMP","TOT","AGRWTH","A","2002",5.651682,
"FRA","LABCOMP","TOT","AGRWTH","A","2003",2.673525,
"FRA","LABCOMP","TOT","AGRWTH","A","2004",1.782001,
"FRA","LABCOMP","TOT","AGRWTH","A","2005",2.882639,
"FRA","LABCOMP","TOT","AGRWTH","A","2006",4.335613,
"FRA","LABCOMP","TOT","AGRWTH","A","2007",0.830969,
"FRA","LABCOMP","TOT","AGRWTH","A","2008",1.991141,
"FRA","LABCOMP","TOT","AGRWTH","A","2009",2.572076,
"FRA","LABCOMP","TOT","AGRWTH","A","2010",2.232579,
"FRA","LABCOMP","TOT","AGRWTH","A","2011",1.852085,
"FRA","LABCOMP","TOT","AGRWTH","A","2012",2.570975,
"FRA","LABCOMP","TOT","AGRWTH","A","2013",2.688136,
"FRA","LABCOMP","TOT","AGRWTH","A","2014",1.563929,
"FRA","LABCOMP","TOT","AGRWTH","A","2015",1.049999,
"FRA","LABCOMP","TOT","AGRWTH","A","2016",0.804341,
"FRA","LABCOMP","TOT","AGRWTH","A","2017",2.756442,
"FRA","LABCOMP","TOT","AGRWTH","A","2018",1.141346,
"FRA","LABCOMP","TOT","AGRWTH","A","2019",-0.343469,
"FRA","LABCOMP","TOT","AGRWTH","A","2020",4.529855,
"FRA","LABCOMP","TOT","AGRWTH","A","2021",-0.781965,
"FRA","LABCOMP","TOT","AGRWTH","A","2022",3.076146,
"DEU","LABCOMP","TOT","AGRWTH","A","1992",9.492045,
"DEU","LABCOMP","TOT","AGRWTH","A","1993",6.216897,
"DEU","LABCOMP","TOT","AGRWTH","A","1994",3.392296,
"DEU","LABCOMP","TOT","AGRWTH","A","1995",3.956431,
"DEU","LABCOMP","TOT","AGRWTH","A","1996",2.085536,
"DEU","LABCOMP","TOT","AGRWTH","A","1997",1.439934,
"DEU","LABCOMP","TOT","AGRWTH","A","1998",1.201966,
"DEU","LABCOMP","TOT","AGRWTH","A","1999",2.178739,
"DEU","LABCOMP","TOT","AGRWTH","A","2000",3.418983,
"DEU","LABCOMP","TOT","AGRWTH","A","2001",2.363219,
"DEU","LABCOMP","TOT","AGRWTH","A","2002",1.789037,
"DEU","LABCOMP","TOT","AGRWTH","A","2003",2.129195,
"DEU","LABCOMP","TOT","AGRWTH","A","2004",0.361232,
"DEU","LABCOMP","TOT","AGRWTH","A","2005",1.071073,
"DEU","LABCOMP","TOT","AGRWTH","A","2006",-0.785439,
"DEU","LABCOMP","TOT","AGRWTH","A","2007",0.796572,
"DEU","LABCOMP","TOT","AGRWTH","A","2008",2.709435,
"DEU","LABCOMP","TOT","AGRWTH","A","2009",3.813464,
"DEU","LABCOMP","TOT","AGRWTH","A","2010",0.729342,
"DEU","LABCOMP","TOT","AGRWTH","A","2011",2.705914,
"DEU","LABCOMP","TOT","AGRWTH","A","2012",3.980933,
"DEU","LABCOMP","TOT","AGRWTH","A","2013",2.649991,
"DEU","LABCOMP","TOT","AGRWTH","A","2014",2.33401,
"DEU","LABCOMP","TOT","AGRWTH","A","2015",2.558737,
"DEU","LABCOMP","TOT","AGRWTH","A","2016",2.50909,
"DEU","LABCOMP","TOT","AGRWTH","A","2017",2.82971,
"DEU","LABCOMP","TOT","AGRWTH","A","2018",3.342463,
"DEU","LABCOMP","TOT","AGRWTH","A","2019",3.813698,
"DEU","LABCOMP","TOT","AGRWTH","A","2020",4.156905,
"DEU","LABCOMP","TOT","AGRWTH","A","2021",0.591476,
"DEU","LABCOMP","TOT","AGRWTH","A","2022",3.984836,
"GRC","LABCOMP","TOT","AGRWTH","A","1996",9.420783,
"GRC","LABCOMP","TOT","AGRWTH","A","1997",13.847756,
"GRC","LABCOMP","TOT","AGRWTH","A","1998",5.812504,
"GRC","LABCOMP","TOT","AGRWTH","A","1999",6.291557,
"GRC","LABCOMP","TOT","AGRWTH","A","2000",5.297984,
"GRC","LABCOMP","TOT","AGRWTH","A","2001",5.803532,
"GRC","LABCOMP","TOT","AGRWTH","A","2002",11.014317,
"GRC","LABCOMP","TOT","AGRWTH","A","2003",7.668384,
"GRC","LABCOMP","TOT","AGRWTH","A","2004",4.978182,
"GRC","LABCOMP","TOT","AGRWTH","A","2005",3.118726,
"GRC","LABCOMP","TOT","AGRWTH","A","2006",3.691443,
"GRC","LABCOMP","TOT","AGRWTH","A","2007",4.421524,
"GRC","LABCOMP","TOT","AGRWTH","A","2008",3.950761,
"GRC","LABCOMP","TOT","AGRWTH","A","2009",3.910929,
"GRC","LABCOMP","TOT","AGRWTH","A","2010",2.06368,
"GRC","LABCOMP","TOT","AGRWTH","A","2011",-4.242869,
"GRC","LABCOMP","TOT","AGRWTH","A","2012",-4.454655,
"GRC","LABCOMP","TOT","AGRWTH","A","2013",-8.256915,
"GRC","LABCOMP","TOT","AGRWTH","A","2014",-2.844073,
"GRC","LABCOMP","TOT","AGRWTH","A","2015",-0.506751,
"GRC","LABCOMP","TOT","AGRWTH","A","2016",-4.832918,
"GRC","LABCOMP","TOT","AGRWTH","A","2017",2.223184,
"GRC","LABCOMP","TOT","AGRWTH","A","2018",-4.832189,
"GRC","LABCOMP","TOT","AGRWTH","A","2019",1.257553,
"GRC","LABCOMP","TOT","AGRWTH","A","2020",10.29069,
"GRC","LABCOMP","TOT","AGRWTH","A","2021",-4.516609,
"GRC","LABCOMP","TOT","AGRWTH","A","2022",-1.964908,
"HUN","LABCOMP","TOT","AGRWTH","A","1996",22.484476,
"HUN","LABCOMP","TOT","AGRWTH","A","1997",20.930435,
"HUN","LABCOMP","TOT","AGRWTH","A","1998",15.778145,
"HUN","LABCOMP","TOT","AGRWTH","A","1999",7.550825,
"HUN","LABCOMP","TOT","AGRWTH","A","2000",16.790354,
"HUN","LABCOMP","TOT","AGRWTH","A","2001",17.3688,
"HUN","LABCOMP","TOT","AGRWTH","A","2002",12.258128,
"HUN","LABCOMP","TOT","AGRWTH","A","2003",10.807169,
"HUN","LABCOMP","TOT","AGRWTH","A","2004",11.295785,
"HUN","LABCOMP","TOT","AGRWTH","A","2005",9.074049,
"HUN","LABCOMP","TOT","AGRWTH","A","2006",6.346566,
"HUN","LABCOMP","TOT","AGRWTH","A","2007",7.714342,
"HUN","LABCOMP","TOT","AGRWTH","A","2008",7.263704,
"HUN","LABCOMP","TOT","AGRWTH","A","2009",-1.64206,
"HUN","LABCOMP","TOT","AGRWTH","A","2010",0.49502,
"HUN","LABCOMP","TOT","AGRWTH","A","2011",4.740262,
"HUN","LABCOMP","TOT","AGRWTH","A","2012",3.567264,
"HUN","LABCOMP","TOT","AGRWTH","A","2013",0.429262,
"HUN","LABCOMP","TOT","AGRWTH","A","2014",-0.302368,
"HUN","LABCOMP","TOT","AGRWTH","A","2015",1.782763,
"HUN","LABCOMP","TOT","AGRWTH","A","2016",1.320371,
"HUN","LABCOMP","TOT","AGRWTH","A","2017",7.524683,
"HUN","LABCOMP","TOT","AGRWTH","A","2018",7.153045,
"HUN","LABCOMP","TOT","AGRWTH","A","2019",7.015917,
"HUN","LABCOMP","TOT","AGRWTH","A","2020",6.685399,
"HUN","LABCOMP","TOT","AGRWTH","A","2021",6.899076,
"HUN","LABCOMP","TOT","AGRWTH","A","2022",15.09241,
"IRL","LABCOMP","TOT","AGRWTH","A","1996",4.51793,
"IRL","LABCOMP","TOT","AGRWTH","A","1997",6.990791,
"IRL","LABCOMP","TOT","AGRWTH","A","1998",7.218984,
"IRL","LABCOMP","TOT","AGRWTH","A","1999",5.802181,
"IRL","LABCOMP","TOT","AGRWTH","A","2000",8.405679,
"IRL","LABCOMP","TOT","AGRWTH","A","2001",9.270149,
"IRL","LABCOMP","TOT","AGRWTH","A","2002",5.93612,
